Поселение;Pos
Город;G
Дачный поселок;Dp
Сельский поселок;Sp
Поселок городского типа;Pgt
Рабочий поселок;Rp
Курортный поселок;Kp
Городской поселок;Gp
Поселок;P
Выселки;Vki
Поселок при станции (поселок станции);Pos_St 
Поселок при железнодорожной станции;Pos_Zhd_St 
Железнодорожный блокпост;Zhd_Blst
Железнодорожная будка;Zhd_Bka
Железнодорожная ветка;Zhd_Vka
Железнодорожная казарма;Zhd_Kma
Железнодорожный комбинат;Zhd_Kt
Железнодорожная платформа;Zhd_Plma
Железнодорожная площадка;Zhd_Plka
Железнодорожный путевой пост;Zhd_Pp
Железнодорожный остановочный пункт;Zhd_Op
Железнодорожный разъезд;Zhd_Rzd
Железнодорожная станция;Zhd_St 
Деревня;D
Село;S
Станция;St 
Разъезд;Rzd
Вал;Val
Жилой район;Zhr
Зона;Zona
Квартал;Kvl
Микрорайон;Mkr
Набережная;Nab
Остров;Ostv
Парк;Park
Платформа;Platf
Район;Rn
Сад;Sad
Сквер;Skver
Территория;Ter
Территория ведения гражданами садоводства или огородничества для собственных нужд;Ter_Sosn
Территория садоводческих некоммерческих объединений граждан;Ter_Sno
Территория огороднических некоммерческих объединений граждан;Ter_Ono
Территория дачных некоммерческих объединений граждан;Ter_Dno
Территория садоводческого некоммерческого товарищества;Ter_Snt
Территория огороднического некоммерческого товарищества;Ter_Ont
Территория дачных некоммерческих товариществ;Ter_Dnt
Территория садоводческих потребительских кооперативов;Ter_Spk
Территория огороднических потребительских кооперативов;Ter_Opk
Территория дачных потребительских кооперативов;Ter_Dpk
Территория садоводческих некоммерческих партнерств;Ter_Snp
Территория огороднических некоммерческих партнерств;Ter_Onp
Территория дачных некоммерческих партнерств;Ter_Dnp
Территория товарищества собственников жилья;Ter_Tszh
Территория товарищества собственников недвижимости;Ter_Tsn
Территория гаражно-строительного кооператива;Ter_Gsk
Территория потребительского кооператива;Ter_Pk
Усадьба;Us
Территория фермерского хозяйства;Terfh
Аллея;Al
Бульвар;Br
Взвоз;Vzv
Въезд;Vzd
Дорога;Dor
Заезд;Zzd
Километр;Km
Кольцо;Kco
Коса;Kosa
Линия;Ln
Магистраль;Mgstr
Набережная;Nab
Переезд;Perd
Переулок;Per
Площадка;Plka
Площадь;Pl
Проезд;Prd
Просек;Prk
Просека;Prka
Проспект;Prkt
Проулок;Proul
Разъезд;Rzd
Ряд;Ryad
Сквер;Sr
Спуск;Sk
Съезд;Szd
Тракт;Trakt
Тупик;Tup
Улица;Ul
Шоссе;Sh
Владение;Vld
Домовладение;Dvld
Здание;Zd
Земельный участок;Zu
Котельная;Kot
Корпус;K
Объект незавершенного строительства;Ons
Павильон;Pav
Рабочий участок;Rabuch
Сооружение;Soor
Строение;Str
